"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2007","148.29","142.16","149.80","140.89","1.80B","4.43%"
"03/01/2007","142.00","139.34","143.81","136.75","2.92B","0.76%"
"02/01/2007","140.93","144.15","146.42","139.00","1.50B","-1.96%"
"01/01/2007","143.75","142.25","144.13","140.25","1.35B","1.50%"
"12/01/2006","141.62","140.53","143.24","138.97","1.21B","0.78%"
"11/01/2006","140.53","138.22","141.16","135.62","1.50B","1.99%"
"10/01/2006","137.79","133.54","139.00","132.34","1.45B","3.15%"
"09/01/2006","133.58","131.14","133.99","129.35","1.36B","2.25%"
"08/01/2006","130.64","127.34","131.04","126.28","1.42B","2.18%"
"07/01/2006","127.85","127.43","128.14","122.39","1.69B","0.49%"
"06/01/2006","127.23","127.38","129.43","122.34","2.17B","-0.22%"
"05/01/2006","127.51","131.47","132.80","124.76","1.75B","-3.01%"
"04/01/2006","131.47","130.07","131.86","128.02","1.30B","1.26%"
"03/01/2006","129.83","128.60","131.47","127.18","1.35B","1.25%"
"02/01/2006","128.23","127.82","130.04","125.40","1.15B","0.57%"
"01/01/2006","127.50","125.10","129.44","124.39","1.23B","2.40%"
"12/01/2005","124.51","126.02","128.57","124.36","1.07B","-0.72%"
"11/01/2005","125.41","120.58","127.41","120.13","1.19B","4.40%"
"10/01/2005","120.13","122.96","123.34","116.88","1.79B","-2.37%"
"09/01/2005","123.04","122.51","124.74","120.44","1.29B","0.38%"
"08/01/2005","122.58","123.83","124.74","120.38","1.32B","-0.94%"
"07/01/2005","123.74","119.45","124.64","118.26","1.19B","3.83%"
"06/01/2005","119.18","119.52","121.94","118.75","1.11B","-0.25%"
"05/01/2005","119.48","116.07","120.25","114.80","1.35B","3.22%"
"04/01/2005","115.75","118.63","119.26","113.55","1.67B","-1.87%"
"03/01/2005","117.96","120.78","123.25","116.25","1.34B","-2.21%"
"02/01/2005","120.63","118.25","121.67","118.10","1.03B","2.09%"
"01/01/2005","118.16","121.56","121.76","116.37","1.19B","-2.24%"
"12/01/2004","120.87","118.16","121.66","117.73","911.60M","2.53%"
"11/01/2004","117.89","113.56","119.14","113.20","964.65M","4.14%"
"10/01/2004","113.20","112.26","114.68","109.35","1.05B","1.29%"
"09/01/2004","111.76","110.94","113.74","110.41","792.69M","0.59%"
"08/01/2004","111.11","110.19","111.63","106.59","924.66M","0.24%"
"07/01/2004","110.84","114.25","114.40","108.21","956.40M","-3.22%"
"06/01/2004","114.53","112.46","114.94","111.87","726.88M","1.48%"
"05/01/2004","112.86","111.37","113.26","108.06","984.92M","1.71%"
"04/01/2004","110.96","113.07","115.41","110.90","969.26M","-1.89%"
"03/01/2004","113.10","115.43","116.97","108.85","1.13B","-1.67%"
"02/01/2004","115.02","113.70","116.60","112.78","676.31M","1.36%"
"01/01/2004","113.48","111.74","116.50","110.73","746.62M","1.98%"
"12/01/2003","111.28","106.93","111.52","105.96","679.27M","4.54%"
"11/01/2003","106.45","105.75","106.95","103.62","631.42M","1.09%"
"10/01/2003","105.30","100.24","105.97","100.20","833.83M","5.35%"
"09/01/2003","99.95","101.64","104.70","99.25","821.45M","-1.47%"
"08/01/2003","101.44","99.19","101.82","96.34","777.64M","2.06%"
"07/01/2003","99.39","97.25","101.90","96.43","921.26M","1.80%"
"06/01/2003","97.63","97.53","102.18","96.67","871.84M","0.70%"
"05/01/2003","96.95","91.92","97.09","90.50","884.84M","5.48%"
"04/01/2003","91.91","85.25","92.80","84.91","999.07M","8.46%"
"03/01/2003","84.74","85.26","89.88","79.38","1.16B","-0.19%"
"02/01/2003","84.90","86.14","86.82","81.00","864.06M","-1.35%"
"01/01/2003","86.06","88.85","93.86","84.15","919.29M","-2.46%"
"12/01/2002","88.23","95.47","96.05","87.11","729.20M","-6.12%"
"11/01/2002","93.98","88.35","94.95","87.45","819.43M","6.17%"
"10/01/2002","88.52","82.44","91.29","77.07","1.35B","8.23%"
"09/01/2002","81.79","90.73","93.33","80.01","1.01B","-10.88%"
"08/01/2002","91.78","90.88","97.15","83.55","948.09M","0.68%"
"07/01/2002","91.16","99.19","99.80","77.68","1.13B","-7.88%"
"06/01/2002","98.96","107.09","107.60","95.19","535.84M","-7.70%"
"05/01/2002","107.22","107.97","111.25","104.90","453.23M","-0.59%"
"04/01/2002","107.86","114.23","115.10","106.63","404.64M","-5.82%"
"03/01/2002","114.52","111.72","117.91","111.51","386.62M","3.03%"
"02/01/2002","111.15","113.09","113.30","107.82","424.77M","-1.79%"
"01/01/2002","113.18","115.11","117.99","108.40","349.87M","-0.98%"
"12/01/2001","114.30","113.65","118.00","112.00","308.51M","0.22%"
"11/01/2001","114.05","106.60","116.90","105.70","374.03M","7.80%"
"10/01/2001","105.80","103.90","111.79","102.83","512.89M","1.30%"
"09/01/2001","104.44","113.85","116.17","93.80","419.27M","-8.51%"
"08/01/2001","114.15","121.97","123.25","112.04","269.62M","-5.93%"
"07/01/2001","121.35","122.80","124.32","116.75","196.99M","-1.02%"
"06/01/2001","122.60","126.20","129.23","120.40","203.61M","-2.66%"
"05/01/2001","125.95","125.07","132.09","123.44","208.07M","0.83%"
"04/01/2001","124.91","116.30","127.27","109.30","252.00M","7.04%"
"03/01/2001","116.69","124.05","127.75","108.04","318.20M","-5.86%"
"02/01/2001","123.95","137.10","137.99","121.80","178.61M","-9.54%"
"01/01/2001","137.02","132.00","138.70","127.56","181.34M","4.44%"
"12/01/2000","131.19","133.19","139.56","125.53","165.52M","-0.82%"
"11/01/2000","132.28","142.25","144.30","129.75","156.70M","-7.46%"
"10/01/2000","142.95","144.28","145.75","130.16","178.41M","-0.47%"
"09/01/2000","143.62","153.25","153.59","142.12","113.20M","-5.72%"
"08/01/2000","152.34","143.62","153.09","142.62","102.37M","6.53%"
"07/01/2000","143.00","145.44","151.98","141.52","106.78M","-1.57%"
"06/01/2000","145.28","143.69","149.16","143.00","126.95M","1.73%"
"05/01/2000","142.81","146.56","148.48","136.50","161.03M","-1.57%"
"04/01/2000","145.09","150.12","153.11","133.50","230.56M","-3.52%"
"03/01/2000","150.38","137.62","155.75","135.03","247.59M","9.42%"
"02/01/2000","137.44","139.75","144.56","132.72","186.94M","-1.52%"
"01/01/2000","139.56","148.25","148.25","135.00","156.77M","-4.98%"
"12/01/1999","146.88","139.31","147.56","139.00","121.53M","5.46%"
"11/01/1999","139.28","136.50","143.00","134.59","125.04M","1.66%"
"10/01/1999","137.00","127.94","137.69","123.44","196.83M","6.41%"
"09/01/1999","128.75","132.94","136.62","125.56","167.97M","-2.51%"
"08/01/1999","132.06","132.75","138.78","127.00","142.93M","-0.52%"
"07/01/1999","132.75","137.00","142.25","132.56","115.63M","-3.10%"
"06/01/1999","137.00","130.12","137.50","128.02","160.69M","5.22%"
"05/01/1999","130.20","133.44","138.00","128.00","182.57M","-2.29%"
"04/01/1999","133.25","129.69","137.50","128.12","156.76M","3.79%"
"03/01/1999","128.38","123.66","132.62","121.78","148.20M","3.90%"
"02/01/1999","123.56","128.69","128.84","121.33","164.62M","-3.21%"
"01/01/1999","127.66","123.38","128.50","120.38","141.42M","3.53%"
"12/01/1998","123.31","116.12","124.75","113.75","156.03M","6.19%"
"11/01/1998","116.12","110.81","119.72","110.19","136.37M","5.56%"
"10/01/1998","110.00","100.03","110.91","92.22","249.15M","8.11%"
"09/01/1998","101.75","96.06","107.00","93.62","269.37M","5.99%"
"08/01/1998","96.00","111.78","112.42","95.00","268.54M","-14.12%"
"07/01/1998","111.78","114.06","119.23","111.31","155.28M","-1.35%"
"06/01/1998","113.31","108.97","114.69","107.50","141.99M","3.93%"
"05/01/1998","109.03","111.75","113.31","107.58","116.26M","-2.07%"
"04/01/1998","111.34","110.31","113.44","107.62","118.63M","1.27%"
"03/01/1998","109.94","105.25","111.53","103.16","87.32M","4.59%"
"02/01/1998","105.12","99.91","105.53","99.72","69.74M","6.93%"
"01/01/1998","98.31","97.31","99.56","90.91","104.58M","1.29%"
"12/01/1997","97.06","96.22","99.00","92.38","79.16M","1.51%"
"11/01/1997","95.62","93.19","96.81","90.09","93.16M","3.87%"
"10/01/1997","92.06","95.25","98.50","84.38","137.49M","-2.46%"
"09/01/1997","94.38","90.69","96.38","90.25","78.64M","4.43%"
"08/01/1997","90.38","95.50","96.62","89.34","98.21M","-5.17%"
"07/01/1997","95.31","88.50","96.03","88.39","65.36M","7.93%"
"06/01/1997","88.31","85.34","90.50","84.08","47.33M","3.70%"
"05/01/1997","85.16","80.22","85.56","79.31","37.47M","6.33%"
"04/01/1997","80.09","75.25","80.69","73.31","57.68M","6.43%"
"03/01/1997","75.25","78.75","81.80","75.25","37.51M","-4.94%"
"02/01/1997","79.16","78.72","82.00","77.12","30.03M","0.96%"
"01/01/1997","78.41","74.38","79.69","72.75","43.62M","6.19%"
"12/01/1996","73.84","75.92","76.58","71.88","34.95M","-2.87%"
"11/01/1996","76.02","70.98","76.69","70.27","24.09M","7.31%"
"10/01/1996","70.84","68.70","71.62","68.44","14.79M","3.24%"
"09/01/1996","68.62","64.47","69.25","64.38","17.22M","5.04%"
"08/01/1996","65.33","64.16","67.34","64.06","15.59M","1.93%"
"07/01/1996","64.09","67.28","67.70","60.38","28.83M","-4.50%"
"06/01/1996","67.11","66.89","68.50","66.16","16.87M","0.34%"
"05/01/1996","66.88","65.38","68.44","63.08","17.45M","2.28%"
"04/01/1996","65.39","65.00","65.81","62.12","15.00M","1.08%"
"03/01/1996","64.69","64.64","66.00","62.00","19.02M","1.27%"
"02/01/1996","63.88","63.61","66.69","63.44","14.85M","0.33%"
"01/01/1996","63.67","61.41","63.69","59.64","10.66M","3.56%"
"12/01/1995","61.48","60.98","62.80","60.58","9.82M","0.94%"
"11/01/1995","60.91","58.28","61.20","58.23","8.84M","4.46%"
"10/01/1995","58.31","58.48","59.19","57.27","8.94M","-0.29%"
"09/01/1995","58.48","56.39","58.91","56.34","7.43M","3.67%"
"08/01/1995","56.41","56.23","56.80","55.42","8.10M","0.45%"
"07/01/1995","56.16","54.47","56.70","54.20","5.51M","3.22%"
"06/01/1995","54.41","53.41","55.16","52.75","5.79M","1.44%"
"05/01/1995","53.64","51.55","53.64","51.39","6.99M","3.97%"
"04/01/1995","51.59","50.09","51.67","50.06","4.40M","2.95%"
"03/01/1995","50.11","48.97","50.89","46.77","4.54M","2.22%"
"02/01/1995","49.02","47.16","49.16","47.00","5.95M","4.10%"
"01/01/1995","47.09","45.70","47.23","45.69","2.77M","3.36%"
"12/01/1994","45.56","45.64","46.41","44.69","8.57M","-0.07%"
"11/01/1994","45.59","47.28","47.33","44.61","4.81M","-3.98%"
"10/01/1994","47.48","46.20","47.70","45.00","5.44M","2.84%"
"09/01/1994","46.17","47.50","47.72","45.73","6.31M","-3.13%"
"08/01/1994","47.66","45.94","47.98","45.66","7.95M","3.81%"
"07/01/1994","45.91","44.69","46.05","44.38","5.45M","3.24%"
"06/01/1994","44.47","45.70","46.56","44.00","10.35M","-2.93%"
"05/01/1994","45.81","45.09","45.94","44.17","8.55M","1.60%"
"04/01/1994","45.09","43.34","45.36","43.34","11.43M","1.12%"
"03/01/1994","44.59","46.81","47.31","43.53","14.71M","-4.74%"
"02/01/1994","46.81","48.16","48.28","46.56","10.97M","-2.92%"
"01/01/1994","48.22","46.59","48.31","46.41","6.84M","3.50%"
"12/01/1993","46.59","46.59","47.16","46.38","6.13M","0.54%"
"11/01/1993","46.34","46.78","47.00","45.53","5.36M","-1.07%"
"10/01/1993","46.84","45.88","47.16","45.72","6.97M","1.96%"
"09/01/1993","45.94","46.41","46.59","44.81","4.37M","-1.33%"
"08/01/1993","46.56","44.91","46.56","44.84","5.44M","3.84%"
"07/01/1993","44.84","45.12","45.22","44.16","6.12M","-0.49%"
"06/01/1993","45.06","45.38","45.81","44.22","3.44M","-0.35%"
"05/01/1993","45.22","44.09","45.66","43.84","1.81M","2.70%"
"04/01/1993","44.03","45.25","45.25","43.28","2.70M","-2.57%"
"03/01/1993","45.19","44.56","45.84","44.22","3.02M","1.76%"
"02/01/1993","44.41","43.97","45.12","42.81","5.42M","1.07%"
